Series Name,Series Code,Country Name,Country Code,2005 [YR2005]
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,257.175794656273
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Albania,ALB,2709.14293056201
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Algeria,DZA,3102.03738422673
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Andorra,ADO,39990.3304085679
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Angola,AGO,2063.92220212918
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,12079.8656950416
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Argentina,ARG,5640.84850283585
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Armenia,ARM,1625.40776912682
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Aruba,ABW,23302.8319880055
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Australia,AUS,33982.9504271591
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Austria,AUT,38242.0425174699
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,1578.36733030667
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,23405.8795479327
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bahrain,BHR,18418.0726743768
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,485.852888073473
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Barbados,BRB,14223.7777039775
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Belarus,BLR,3126.36777779462
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Belgium,BEL,36967.2829204297
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Belize,BLZ,3933.2343731798
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Benin,BEN,587.080212422838
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bermuda,BMU,75882.0338560339
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bhutan,BTN,1257.54864008661
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bolivia,BOL,1046.4278428307
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,2844.43181234342
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Botswana,BWA,5327.8535176786
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Brazil,BRA,4733.16418107253
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,26337.9181126619
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,3852.97775647268
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,406.998837384044
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Burundi,BDI,140.815135598437
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,2049.6156926513
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Cambodia,KHM,472.448855862778
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Cameroon,CMR,915.091287679653
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Canada,CAN,36028.2324902754
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,..
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,332.946640076818
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Chad,TCD,660.181556791972
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,57209.2491624825
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Chile,CHL,7728.61189741759
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,China,CHN,1740.09672638011
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Colombia,COL,3386.02547761041
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Comoros,COM,614.861327262045
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,"Congo, Dem. Rep.",ZAR,213.310458975988
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,"Congo, Rep.",COG,1737.61154643105
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Costa Rica,CRI,4700.01492584503
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Cote d'Ivoire,CIV,942.21638493014
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Croatia,HRV,10224.2405855179
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Cuba,CUB,3786.87532923212
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Curacao,CUW,..
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Cyprus,CYP,24738.009385173
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Czech Republic,CZE,13317.7298342014
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Denmark,DNK,48816.8358639645
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Djibouti,DJI,910.364507373486
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Dominica,DMA,5250.35256117448
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Dominican Republic,DOM,3681.06541467851
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Ecuador,ECU,3021.94276733003
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,"Egypt, Arab Rep.",EGY,1196.7333040595
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,El Salvador,SLV,2874.25725626454
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Equatorial Guinea,GNQ,13129.5981770095
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Eritrea,ERI,262.074245377106
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Estonia,EST,10338.3172625946
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Ethiopia,ETH,161.876953908295
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Faeroe Islands,FRO,35808.8298627485
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Fiji,FJI,3658.61747680046
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Finland,FIN,38969.171631813
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,France,FRA,34879.7263291899
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,French Polynesia,PYF,..
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Gabon,GAB,6865.32349733016
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,"Gambia, The",GMB,433.291583594575
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Georgia,GEO,1469.92731980371
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Germany,DEU,34696.62091671
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,Ghana,GHA,501.72407455066
