,index_x,Country_Code,year,id,name,MPI,stDev,rank,nrVars,MPI_E,stDev_E,rank_E,nrVars_E,MPI_S,stDev_S,rank_S,nrVars_S,MPI_I,stDev_I,rank_I,nrVars_I,Country_Name,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_KD,SL_UEM_TOTL_NE_ZS,SL_UEM_TOTL_ZS,SP_POP_DPND,SP_POP_TOTL,date,index_y,countryname,system,yrsoffc,finittrm,yrcurnt,multpl,military,defmin,percent1,percentl,prtyin,execme,execrlc,execnat,execrurl,execreg,execrel,execage,allhouse,nonchief,totalseats,gov1me,gov1seat,gov1vote,gov1rlc,gov1nat,gov1rurl,gov1reg,gov1rel,gov1age,gov2me,gov2seat,gov2vote,gov2rlc,gov2nat,gov2rurl,gov2reg,gov2rel,gov2age,gov3me,gov3seat,gov3vote,gov3rlc,gov3nat,gov3rurl,gov3reg,gov3rel,gov3age,govoth,govothst,govothvt,opp1me,opp1seat,opp1vote,opp1rlc,opp1nat,opp1rurl,opp1reg,opp1rel,opp1age,opp2me,opp2seat,opp2vote,opp3me,opp3seat,opp3vote,oppoth,oppothst,oppothvt,ulprty,numul,ulvote,oppmajh,oppmajs,dateleg,dateexec,legelec,exelec,liec,eiec,mdmh,mdms,ssh,pluralty,pr,housesys,sensys,thresh,dhondt,cl,select,fraud,auton,muni,state,author,stconst,gwno,numgov,numvote,numopp,oppvote,maj,partyage,herfgov,herfopp,herftot,frac,oppfrac,govfrac,tensys_strict,tensys,checks_lax,checks,stabs_strict,stabs,stabns_strict,stabns,tenlong_strict,tenlong,tenshort_strict,tenshort,polariz,ISO2,continent
0,0,AUS,1996,13,Australia,0.7525,0.5413,1.0,6,0.6093,0.4483,1,2,0.3617,0.5366,1.0,2,0.5529999999999999,0.8402,,1,Australia,3.94914072165129,39024.5662534149,8.51000022888184,8.50599956512451,50.2292861044597,18311000.0,1996-01-01,308.0,Australia,Parliamentary,5.0,1.0,0.0,1.0,0.0,0.0,-999.0,-999.0,12.0,ALP,Left,0.0,0.0,0.0,0.0,105.0,0.0,-999,147.0,ALP,80.0,44.91999816894531,Left,0.0,0.0,0.0,0.0,105.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,LPA,49.0,36.77000045776367,Right,0.0,0.0,0.0,0.0,52.0,NPA,16.0,7.170000076293945,independent,2.0,7.059999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-999.0,1.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,80.0,44.91999816894531,67.0,51.0,0.544217705727,78.5,1.0,0.592782378197,,0.584661304951,0.413387596607,0.0,66.0,66.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,13.0,5.0,5.0,0.0,AU,OC
1,1,AUS,1997,13,Australia,0.8081,0.5506,1.0,2,0.5933,0.4537,1,0,0.3969,0.5404,1.0,1,0.6471,0.8569,,0,Australia,3.94734180401746,40113.7172139535,8.35999965667725,8.36200046539307,50.1320354375493,18517000.0,1997-01-01,309.0,Australia,Parliamentary,1.0,1.0,2.0,1.0,0.0,0.0,-999.0,-999.0,1.0,LPA,Right,0.0,0.0,0.0,0.0,53.0,0.0,-999,149.0,LPA,75.0,38.70000076293945,Right,0.0,0.0,0.0,0.0,53.0,NPA,19.0,8.199999809265137,Right,0.0,0.0,0.0,0.0,15.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,50.0,38.79999923706055,Left,0.0,0.0,0.0,0.0,106.0,independent,1.0,0.4000000059604645,independent,1.0,,3.0,3.0,4.400000095367432,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,94.0,46.900001525878906,55.0,43.599998474121094,0.630872488022,58.0,0.677455842495,0.828099191189,,0.621712327003,0.175084173679,0.326012343168,67.0,67.0,4.0,4.0,0.666666686535,0.666666686535,1.0,1.0,1.0,1.0,1.0,1.0,0.0,AU,OC
2,2,AUS,1998,13,Australia,0.8603,0.5504,1.0,2,0.5736,0.4583,1,0,0.4319,0.5406,1.0,1,0.7381,0.8571,,0,Australia,4.438243428208179,41459.6942568523,7.67999982833862,7.67600011825562,49.9541746581853,18711000.0,1998-01-01,310.0,Australia,Parliamentary,2.0,1.0,1.0,1.0,0.0,0.0,-999.0,-999.0,2.0,LPA,Right,0.0,0.0,0.0,0.0,54.0,0.0,-999,149.0,LPA,75.0,38.70000076293945,Right,0.0,0.0,0.0,0.0,54.0,NPA,19.0,8.199999809265137,Right,0.0,0.0,0.0,0.0,16.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,50.0,38.79999923706055,Left,0.0,0.0,0.0,0.0,107.0,independent,1.0,0.4000000059604645,independent,1.0,,3.0,3.0,4.400000095367432,0.0,0.0,0.0,0.0,0.0,10.0,-999.0,1.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,94.0,46.900001525878906,55.0,43.599998474121094,0.630872488022,59.0,0.677455842495,0.828099191189,,0.621712327003,0.175084173679,0.326012343168,68.0,68.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,AU,OC
3,3,AUS,1999,13,Australia,0.9056,0.5529999999999999,1.0,2,0.5481,0.4588,2,0,0.4579,0.5374,1.0,1,0.83,0.8643,1.0,0,Australia,5.00709635409926,43041.0549685558,6.869999885559079,6.872000217437741,49.791664061445104,18926000.0,1999-01-01,311.0,Australia,Parliamentary,3.0,1.0,2.0,1.0,0.0,0.0,-999.0,-999.0,3.0,LPA,Right,0.0,0.0,0.0,0.0,55.0,0.0,-999,148.0,LPA,64.0,34.09000015258789,Right,0.0,0.0,0.0,0.0,55.0,NPA,16.0,5.329999923706055,Right,0.0,0.0,0.0,0.0,17.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,67.0,40.04999923706055,Left,0.0,0.0,0.0,0.0,108.0,independent,1.0,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.530000686645508,0.0,0.0,-999.0,-999.0,0.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,80.0,39.41999816894531,68.0,40.04999923706055,0.540540516376,60.0,0.680000007153,0.971020758152,,0.600386083126,0.0294117648154,0.324050635099,69.0,69.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,AU,OC
4,4,AUS,2000,13,Australia,0.9581,0.5501,1.0,10,0.5327,0.4583,2,0,0.4831,0.5325,1.0,1,0.9274,0.8594,1.0,8,Australia,3.8686576816643594,44176.3117329878,6.28000020980835,6.28299999237061,49.6890472608774,19153000.0,2000-01-01,312.0,Australia,Parliamentary,4.0,1.0,1.0,1.0,0.0,0.0,-999.0,-999.0,4.0,LPA,Right,0.0,0.0,0.0,0.0,56.0,0.0,-999,148.0,LPA,64.0,34.09000015258789,Right,0.0,0.0,0.0,0.0,56.0,NPA,16.0,5.329999923706055,Right,0.0,0.0,0.0,0.0,18.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,67.0,40.04999923706055,Left,0.0,0.0,0.0,0.0,109.0,independent,1.0,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.530000686645508,0.0,0.0,-999.0,-999.0,0.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,80.0,39.41999816894531,68.0,40.04999923706055,0.540540516376,61.0,0.680000007153,0.971020758152,,0.600386083126,0.0294117648154,0.324050635099,70.0,70.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,AU,OC
5,5,AUS,2001,13,Australia,1.0078,0.5433,1.0,6,0.5174,0.4545,2,2,0.5124,0.5241,1.0,2,1.0147,0.8442,1.0,1,Australia,1.92938679706415,44425.571112178,6.7399997711181605,6.74200010299683,49.39037599078961,19413000.0,2001-01-01,313.0,Australia,Parliamentary,5.0,1.0,0.0,1.0,0.0,0.0,-999.0,-999.0,5.0,LPA,Right,0.0,0.0,0.0,0.0,57.0,0.0,-999,148.0,LPA,64.0,34.09000015258789,Right,0.0,0.0,0.0,0.0,57.0,NPA,16.0,5.329999923706055,Right,0.0,0.0,0.0,0.0,19.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,67.0,40.04999923706055,Left,0.0,0.0,0.0,0.0,110.0,independent,1.0,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.530000686645508,0.0,0.0,11.0,-999.0,1.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,80.0,39.41999816894531,68.0,40.04999923706055,0.540540516376,62.0,0.680000007153,0.971020758152,,0.600386083126,0.0294117648154,0.324050635099,71.0,71.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,2.0,AU,OC
6,6,AUS,2002,13,Australia,1.0602,0.5311,2.0,2,0.5003,0.4425,2,0,0.5442,0.5157,1.0,1,1.1066,0.8340000000000001,1.0,0,Australia,3.856686720792,45579.1940823753,6.369999885559079,6.368000030517581,49.13118109482121,19651400.0,2002-01-01,314.0,Australia,Parliamentary,6.0,1.0,2.0,1.0,0.0,0.0,-999.0,-999.0,6.0,LPA,Right,0.0,0.0,0.0,0.0,58.0,0.0,-999,150.0,LPA,69.0,37.08000183105469,Right,0.0,0.0,0.0,0.0,58.0,NPA,13.0,5.610000133514404,Right,0.0,0.0,0.0,0.0,20.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,65.0,37.84000015258789,Left,0.0,0.0,0.0,0.0,111.0,independent,3.0,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,82.0,42.69000244140625,68.0,37.84000015258789,0.546666681767,63.0,0.73319453001,0.91565746069,,0.596689045429,0.0856014043093,0.270099371672,72.0,72.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2.0,AU,OC
7,7,AUS,2003,13,Australia,1.1167,0.5181,2.0,7,0.4818,0.4302,2,3,0.5778,0.4979,1.0,2,1.2067,0.8167,1.0,1,Australia,3.07079872147182,46402.6842595976,5.92999982833862,5.92899990081787,48.9138526543707,19895400.0,2003-01-01,315.0,Australia,Parliamentary,7.0,1.0,1.0,1.0,0.0,0.0,-999.0,-999.0,7.0,LPA,Right,0.0,0.0,0.0,0.0,59.0,0.0,-999,150.0,LPA,69.0,37.08000183105469,Right,0.0,0.0,0.0,0.0,59.0,NPA,13.0,5.610000133514404,Right,0.0,0.0,0.0,0.0,21.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,65.0,37.84000015258789,Left,0.0,0.0,0.0,0.0,112.0,independent,3.0,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,82.0,42.69000244140625,68.0,37.84000015258789,0.546666681767,64.0,0.73319453001,0.91565746069,,0.596689045429,0.0856014043093,0.270099371672,73.0,73.0,5.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,2.0,AU,OC
8,8,AUS,2004,13,Australia,1.1682,0.4978,2.0,3,0.4658,0.4198,2,1,0.6069,0.4767,2.0,1,1.2985,0.7852,1.0,0,Australia,4.149374344877979,47771.0477703975,5.389999866485599,5.39499998092651,48.730228073608295,20127400.0,2004-01-01,316.0,Australia,Parliamentary,8.0,1.0,0.0,1.0,0.0,0.0,-999.0,-999.0,8.0,LPA,Right,0.0,0.0,0.0,0.0,60.0,0.0,-999,150.0,LPA,69.0,37.08000183105469,Right,0.0,0.0,0.0,0.0,60.0,NPA,13.0,5.610000133514404,Right,0.0,0.0,0.0,0.0,22.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,65.0,37.84000015258789,Left,0.0,0.0,0.0,0.0,113.0,independent,3.0,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-999.0,1.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,82.0,42.69000244140625,68.0,37.84000015258789,0.546666681767,65.0,0.73319453001,0.91565746069,,0.596689045429,0.0856014043093,0.270099371672,74.0,74.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,2.0,AU,OC
9,9,AUS,2005,13,Australia,1.2159,0.4817,3.0,8,0.4491,0.4053,2,4,0.6353,0.45799999999999996,2.0,2,1.3840000000000001,0.7577,1.0,1,Australia,3.2066423006508,48656.4750161488,5.03000020980835,5.03299999237061,48.5963716483066,20394800.0,2005-01-01,317.0,Australia,Parliamentary,9.0,1.0,2.0,1.0,0.0,0.0,-999.0,-999.0,9.0,LPA,Right,0.0,0.0,0.0,0.0,61.0,0.0,-999,150.0,LPA,74.0,40.88999938964844,Right,0.0,0.0,0.0,0.0,61.0,NPA,12.0,5.920000076293945,Right,0.0,0.0,0.0,0.0,23.0,NA,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,ALP,60.0,37.66999816894531,Left,0.0,0.0,0.0,0.0,114.0,NA,0.0,0.0,NA,0.0,0.0,1.0,1.0,,3.0,3.0,,0.0,0.0,-999.0,-999.0,0.0,0.0,7.0,7.0,0.8999999761581421,11.0,0.3400000035762787,1.0,1.0,Plurality,PR,0.0,0.0,0.0,,0.0,0.0,Legislature locally elected,Legislature and executive locally elected,1.0,1.0,900.0,86.0,46.80999755859375,61.0,37.66999816894531,0.573333323002,66.0,0.759870171547,0.967750608921,,0.594004452229,0.0327868834138,0.242954850197,75.0,75.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,2.0,AU,OC
