"TIME","GEO","NACE_R2","INDIC_SB","Value","Flag and Footnotes"
"2011","European Union (28 countries)","Manufacturing","Value added at factor cost","1 650 000.0","de"
"2011","European Union (28 countries)","Manufacture of food products","Value added at factor cost","168 730.7",""
"2011","European Union (28 countries)","Manufacture of beverages","Value added at factor cost","38 245.7",""
"2011","European Union (28 countries)","Manufacture of tobacco products","Value added at factor cost","7 101.3",""
"2011","European Union (28 countries)","Manufacture of textiles","Value added at factor cost","22 000.0","deu"
"2011","European Union (28 countries)","Manufacture of wearing apparel","Value added at factor cost","20 654.0",""
"2011","European Union (28 countries)","Manufacture of leather and related products","Value added at factor cost","12 485.0",""
"2011","European Union (28 countries)","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Value added at factor cost","31 700.0","de"
"2011","European Union (28 countries)","Manufacture of paper and paper products","Value added at factor cost","42 309.7",""
"2011","European Union (28 countries)","Printing and reproduction of recorded media","Value added at factor cost","34 000.0","de"
"2011","European Union (28 countries)","Manufacture of coke and refined petroleum products","Value added at factor cost","20 194.0",""
"2011","European Union (28 countries)","Manufacture of chemicals and chemical products","Value added at factor cost","110 000.0","deu"
"2011","European Union (28 countries)","Manufacture of basic pharmaceutical products and pharmaceutical preparations","Value added at factor cost","85 844.7",""
"2011","European Union (28 countries)","Manufacture of rubber and plastic products","Value added at factor cost","82 000.0","de"
"2011","European Union (28 countries)","Manufacture of other non-metallic mineral products","Value added at factor cost","66 000.0","de"
"2011","European Union (28 countries)","Manufacture of basic metals","Value added at factor cost","64 077.3",""
"2011","European Union (28 countries)","Manufacture of fabricated metal products, except machinery and equipment","Value added at factor cost","159 000.0","de"
"2011","European Union (28 countries)","Manufacture of computer, electronic and optical products","Value added at factor cost",":","c"
"2011","European Union (28 countries)","Manufacture of electrical equipment","Value added at factor cost","86 614.4",""
"2011","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Value added at factor cost","192 035.3",""
"2011","European Union (28 countries)","Manufacture of motor vehicles, trailers and semi-trailers","Value added at factor cost","154 342.5",""
"2011","European Union (28 countries)","Manufacture of other transport equipment","Value added at factor cost","47 443.0",""
"2011","European Union (28 countries)","Manufacture of furniture","Value added at factor cost","29 000.0","de"
"2011","European Union (28 countries)","Other manufacturing","Value added at factor cost","42 590.4",""
"2011","European Union (28 countries)","Repair and installation of machinery and equipment","Value added at factor cost","55 881.1",""
"2011","European Union (27 countries)","Manufacturing","Value added at factor cost","1 650 000.0","de"
"2011","European Union (27 countries)","Manufacture of food products","Value added at factor cost","167 613.1",""
"2011","European Union (27 countries)","Manufacture of beverages","Value added at factor cost","38 000.0","de"
"2011","European Union (27 countries)","Manufacture of tobacco products","Value added at factor cost",":","c"
"2011","European Union (27 countries)","Manufacture of textiles","Value added at factor cost","22 000.0","deu"
"2011","European Union (27 countries)","Manufacture of wearing apparel","Value added at factor cost","20 479.5",""
"2011","European Union (27 countries)","Manufacture of leather and related products","Value added at factor cost","12 405.4",""
"2011","European Union (27 countries)","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Value added at factor cost","31 500.0","de"
"2011","European Union (27 countries)","Manufacture of paper and paper products","Value added at factor cost","42 266.7",""
"2011","European Union (27 countries)","Printing and reproduction of recorded media","Value added at factor cost","34 000.0","de"
"2011","European Union (27 countries)","Manufacture of coke and refined petroleum products","Value added at factor cost",":","c"
"2011","European Union (27 countries)","Manufacture of chemicals and chemical products","Value added at factor cost","110 000.0","deu"
"2011","European Union (27 countries)","Manufacture of basic pharmaceutical products and pharmaceutical preparations","Value added at factor cost","85 725.0",""
"2011","European Union (27 countries)","Manufacture of rubber and plastic products","Value added at factor cost","80 000.0","deu"
"2011","European Union (27 countries)","Manufacture of other non-metallic mineral products","Value added at factor cost",":","c"
"2011","European Union (27 countries)","Manufacture of basic metals","Value added at factor cost","63 796.5",""
"2011","European Union (27 countries)","Manufacture of fabricated metal products, except machinery and equipment","Value added at factor cost","158 000.0","de"
"2011","European Union (27 countries)","Manufacture of computer, electronic and optical products","Value added at factor cost",":","c"
"2011","European Union (27 countries)","Manufacture of electrical equipment","Value added at factor cost","86 323.0",""
"2011","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Value added at factor cost","191 879.7",""
"2011","European Union (27 countries)","Manufacture of motor vehicles, trailers and semi-trailers","Value added at factor cost",":","c"
"2011","European Union (27 countries)","Manufacture of other transport equipment","Value added at factor cost","47 124.3",""
